Country Origin Name,Country Origin Code,Migration by Gender Name,Migration by Gender Code,Country Dest Name,Country Dest Code,1960 [1960],1970 [1970],1980 [1980],1990 [1990],2000 [2000]
India,IND,Female,FEM,Afghanistan,AFG,9521,11578,2872,2234,4445
India,IND,Female,FEM,Albania,ALB,1,2,2,2,2
India,IND,Female,FEM,Algeria,DZA,6,2,2,1,0
India,IND,Female,FEM,American Samoa,ASM,0,0,2,3,4
India,IND,Female,FEM,Andorra,AND,2,13,3,6,8
India,IND,Female,FEM,Angola,AGO,233,95,39,45,78
India,IND,Female,FEM,Anguilla,AIA,0,0,0,2,3
India,IND,Female,FEM,Antigua and Barbuda,ATG,5,7,9,12,20
India,IND,Female,FEM,Argentina,ARG,62,136,216,124,140
India,IND,Female,FEM,Armenia,ARM,0,0,0,0,0
India,IND,Female,FEM,Aruba,ABW,13,12,11,51,68
India,IND,Female,FEM,Australia,AUS,4650,8782,19580,29547,44315
India,IND,Female,FEM,Austria,AUT,69,326,1416,2253,2667
India,IND,Female,FEM,Azerbaijan,AZE,0,0,0,0,0
India,IND,Female,FEM,"Bahamas, The",BHS,1,36,55,74,82
India,IND,Female,FEM,Bahrain,BHR,1519,2667,3077,8442,6384
India,IND,Female,FEM,Bangladesh,BGD,295599,326650,226332,118429,129791
India,IND,Female,FEM,Barbados,BRB,12,91,179,226,265
India,IND,Female,FEM,Belarus,BLR,0,0,0,0,0
India,IND,Female,FEM,Belgium,BEL,24,274,786,992,1478
India,IND,Female,FEM,Belize,BLZ,28,36,41,0,103
India,IND,Female,FEM,Benin,BEN,10,13,17,21,36
India,IND,Female,FEM,Bermuda,BMU,0,7,25,0,34
India,IND,Female,FEM,Bhutan,BTN,1743,2352,3176,4287,5787
India,IND,Female,FEM,Bolivia,BOL,0,2,3,29,52
India,IND,Female,FEM,Bosnia and Herzegovina,BIH,6,7,12,51,39
India,IND,Female,FEM,Botswana,BWA,4,4,56,849,1614
India,IND,Female,FEM,Brazil,BRA,107,136,407,276,315
India,IND,Female,FEM,Brunei Darussalam,BRN,229,214,261,423,632
India,IND,Female,FEM,Bulgaria,BGR,18,19,19,19,89
India,IND,Female,FEM,Burkina Faso,BFA,0,0,2,66,27
India,IND,Female,FEM,Burundi,BDI,71,59,49,21,17
India,IND,Female,FEM,Cambodia,KHM,125,107,1,13,84
India,IND,Female,FEM,Cameroon,CMR,122,138,111,0,0
India,IND,Female,FEM,Canada,CAN,3779,22178,41574,64890,145504
India,IND,Female,FEM,Cape Verde,CPV,5,5,6,0,0
India,IND,Female,FEM,Cayman Islands,CYM,0,0,2,29,16
India,IND,Female,FEM,Central African Republic,CAF,5,3,5,3,0
India,IND,Female,FEM,Chad,TCD,415,474,528,586,666
India,IND,Female,FEM,Channel Islands,CHI,..,..,..,..,..
